date,csi1000_close,csi500_close,shanghai_close,diff_1000_minus_500,ratio_1000_to_500,csi1000_base100,csi500_base100,shanghai_base100
2014-10-17,6058.67,4860.73,2341.18,1197.9400000000005,1.2464526933197277,100.0,100.0,100.0
2014-10-20,6154.52,4929.16,2356.73,1225.3600000000006,1.2485940809387401,101.58203037960476,101.40781322970007,100.66419497860055
2014-10-21,6103.01,4884.02,2339.66,1218.9899999999998,1.249587430026904,100.73184378749791,100.4791461364857,99.9350754747606
2014-10-22,6027.51,4825.61,2326.55,1201.9000000000005,1.2490669573380362,99.48569570549313,99.27747478259438,99.3751014445707
2014-10-23,5930.48,4755.23,2302.42,1175.25,1.2471489286532933,97.88418910420933,97.82954412197344,98.34442460639508
2014-10-24,5941.93,4774.67,2302.28,1167.2600000000002,1.2444692512780988,98.07317447558623,98.22948404869229,98.3384447159125
2014-10-27,6006.84,4809.52,2290.44,1197.3199999999997,1.2489479199587483,99.14453172065816,98.94645454489348,97.83271683510026
2014-10-28,6163.67,4924.96,2337.87,1238.71,1.2515167635879276,101.73305362398017,101.32140645540898,99.85861830359049
2014-10-29,6246.7,4991.76,2373.03,1254.9399999999996,1.251402311008542,103.10348640873326,102.6956856274675,101.36042508478631
2014-10-30,6241.59,4992.63,2391.08,1248.96,1.2501607369262293,103.01914446569957,102.71358417357064,102.1314038220043
2014-10-31,6208.61,4986.42,2420.18,1222.1899999999996,1.2451037016536914,102.4748005750437,102.58582558586879,103.3743667723114
2014-11-03,6275.99,5028.7,2430.03,1247.29,1.2480342832143496,103.5869258434607,103.45565378039925,103.79509478126417
2014-11-04,6231.82,5003.47,2430.68,1228.3499999999995,1.2454996232614564,102.85788795230634,102.9365959434077,103.82285855850468
2014-11-05,6227.25,4995.44,2419.25,1231.8100000000004,1.246586887241164,102.7824588564817,102.77139442017969,103.33464321410571
2014-11-06,6289.19,5024.85,2425.86,1264.3399999999992,1.2516174612177475,103.8047954419039,103.37644757063241,103.61697947189026
