date,csi1000_close,csi500_close,shanghai_close,diff_1000_minus_500,ratio_1000_to_500,csi1000_base100,csi500_base100,shanghai_base100
2014-10-17,6058.668,4860.732,2341.184,1197.9359999999997,1.2464517689928183,100.0,100.0,100.0
2014-10-20,6154.52,4929.16,2356.728,1225.3600000000006,1.2485940809387401,101.58206391239793,101.40777150437424,100.66393756321588
2014-10-21,6103.008,4884.024,2339.657,1218.9839999999995,1.249585997120407,100.73184402908362,100.47918708540196,99.93477659167327
2014-10-22,6027.51,4825.609,2326.553,1201.9009999999998,1.2490672161793464,99.48572854627453,99.277413360786,99.37505979880264
2014-10-23,5930.483,4755.231,2302.418,1175.2520000000004,1.247149297268629,97.88427093215869,97.82952444199762,98.34417115442442
2014-10-24,5941.926,4774.666,2302.28,1167.2600000000002,1.2444694560834204,98.0731408289743,98.22936133899175,98.33827670101965
2014-10-27,6006.838,4809.518,2290.437,1197.3199999999997,1.248948023481771,99.14453143826333,98.94637268625384,97.83242154397091
2014-10-28,6163.672,4924.955,2337.871,1238.7169999999996,1.2515184402700126,101.73312021718306,101.32126190047094,99.85849040485498
2014-10-29,6246.699,4991.755,2373.03,1254.9439999999995,1.251403364147479,103.10350393848947,102.69554050706766,101.36025190672753
2014-10-30,6241.588,4992.63,2391.076,1248.9579999999996,1.2501603363357587,103.01914546233594,102.71354191097144,102.13105847297777
2014-10-31,6208.61,4986.416,2420.178,1222.1939999999995,1.245104700450183,102.47483440254526,102.58570108370509,103.37410472649735
2014-11-03,6275.993,5028.698,2430.032,1247.295,1.2480353761550207,103.58700955391515,103.45557006640153,103.79500287034253
2014-11-04,6231.816,5003.47,2430.677,1228.3459999999995,1.2454988238162714,102.85785588515495,102.93655358904792,103.82255303299526
2014-11-05,6227.245,4995.443,2419.254,1231.8019999999997,1.2465851376944947,102.78241025915267,102.77141385289295,103.33463751674365
2014-11-06,6289.192,5024.848,2425.864,1264.344,1.2516183574110102,103.80486271900028,103.3763638892249,103.61697329214618
2014-11-07,6228.167,4977.255,2418.171,1250.9120000000003,1.2513256805206887,102.797628125522,102.39723152809084,103.28837887154532
2014-11-10,6246.612,5031.001,2473.673,1215.6109999999999,1.2416240823645235,103.10206797929841,103.50294976147627,105.65905968945626
2014-11-11,6023.004,4881.48,2469.673,1141.5240000000003,1.2338479313650779,99.41135576334601,100.42684928936629,105.48820596757878
2014-11-12,6120.058,4965.384,2494.476,1154.674,1.2325447538397836,101.01325901996941,102.15300905295746,106.54762718351056
2014-11-13,6023.782,4921.671,2485.606,1102.1109999999999,1.2239302464549133,99.424196869675,101.25370005999098,106.16875905524725
2014-11-14,6009.446,4909.609,2478.824,1099.8369999999995,1.2240172282558548,99.18757720343811,101.00554813554832,105.879076569804
2014-11-17,6100.833,4958.466,2474.009,1142.3669999999993,1.2303871802287238,100.69594504930788,102.01068481043596,105.67341140209396
2014-11-18,6139.522,4967.651,2456.366,1171.871,1.2359004285929105,101.33451775208677,102.19964811884302,104.91981834832289
2014-11-19,6193.562,4985.101,2450.986,1208.4610000000002,1.2424145468667536,102.22646297833123,102.55864754526685,104.69002009239767
2014-11-20,6185.919,4974.626,2452.66,1211.2929999999997,1.2434942847964852,102.10031313813532,102.34314502424738,104.76152237500341
2014-11-21,6240.774,5029.773,2486.791,1211.0010000000002,1.24076653161087,103.00571016599689,103.47768607691188,106.21937447035346
2014-11-24,6293.023,5112.119,2532.879,1180.9040000000005,1.2310008824129486,103.86809443923978,105.17179305503778,108.18795105382574
2014-11-25,6392.442,5189.001,2567.597,1203.4409999999998,1.2319215201538793,105.50903267846992,106.75348898067205,109.6708759328613
2014-11-26,6435.14,5214.21,2604.345,1220.9300000000003,1.2341543589537054,106.21377504098261,107.27211457039805,111.2405090757497
2014-11-27,6472.587,5251.389,2630.486,1221.1980000000003,1.232547617401796,106.83184818841372,108.03699936552766,112.35708086164948
2014-11-28,6478.108,5245.267,2682.835,1232.8410000000003,1.2350387501722984,106.9229738285709,107.91105125730034,114.59308623329049
2014-12-01,6392.464,5208.139,2680.155,1184.3249999999998,1.2273988847071862,105.5093957945872,107.14721568685539,114.47861423963259
2014-12-02,6457.556,5277.657,2763.545,1179.8989999999994,1.223564926633163,106.58375735392664,108.57741179723548,118.04048720647329
2014-12-03,6513.957,5339.005,2779.525,1174.9520000000002,1.2200694698731318,107.5146715416656,109.8395262277369,118.72304782537381
2014-12-04,6605.322,5451.962,2899.456,1153.3599999999997,1.2115495302425072,109.02267627141808,112.16339432003247,123.84571225499576
2014-12-05,6462.089,5333.892,2937.647,1128.1970000000001,1.211514781326656,106.65857577936274,109.73433630983975,125.47698087805144
2014-12-08,6457.511,5412.674,3020.258,1044.8370000000004,1.1930352723995572,106.58301461641403,111.35512099823647,129.0055800825565
2014-12-09,6161.367,5195.406,2856.269,965.9610000000002,1.1859259892297156,101.69507555125978,106.88525925724768,122.0010473333151
2014-12-10,6366.81,5374.097,2940.006,992.7130000000006,1.1847218239641004,105.08596939129195,110.56147510292689,125.57774186052868
2014-12-11,6463.316,5454.443,2925.743,1008.8729999999996,1.1849635242315302,106.67882775553967,112.21443601498704,124.96852020174407
2014-12-12,6545.19,5493.2,2938.173,1051.9899999999998,1.1915076822252968,108.03018089124541,113.01178505624256,125.49944814247831
2014-12-15,6658.145,5583.597,2953.421,1074.5480000000007,1.1924472701020508,109.89453457426617,114.87152552331624,126.15074253027525
2014-12-16,6635.255,5606.693,3021.518,1028.562,1.18345252718492,109.51672875952272,115.34668029424375,129.05939900494792
2014-12-17,6551.119,5557.286,3061.02,993.8329999999996,1.1788342367119489,108.1280406848502,114.330228451188,130.74666493534895
2014-12-18,6540.881,5558.045,3057.521,982.8360000000002,1.1768312419204954,107.95905964809427,114.34584338325998,130.59721064213662
2014-12-19,6438.042,5524.122,3108.596,913.9200000000001,1.1654416756183155,106.26167335790639,113.64794438368541,132.77879910335966
2014-12-22,6120.582,5305.209,3127.445,815.3730000000005,1.1536929082341527,101.0219077856717,109.14424000335752,133.5839045542768
2014-12-23,6023.366,5193.722,3032.612,829.6440000000002,1.1597397781398389,99.41733067400294,106.85061426962028,129.53326180257508
2014-12-24,6154.878,5262.365,2972.532,892.5129999999999,1.1696030206950676,101.58797280194261,108.2628089760966,126.96703889997538
2014-12-25,6222.506,5364.563,3072.536,857.9430000000002,1.159927845008065,102.70419174643668,110.36533180599137,131.23855280063418
2014-12-26,6233.936,5422.751,3157.603,811.1849999999995,1.1495892029709642,102.89284707463753,111.56243545210887,134.87205619037204
2014-12-29,6098.979,5367.637,3168.016,731.3420000000006,1.1362502717676326,100.66534426378868,110.42857330953444,135.31683114184958
2014-12-30,5982.636,5275.085,3165.815,707.5510000000004,1.1341307296470104,98.74507069870805,108.5244979562749,135.2228188813865
2014-12-31,6027.52,5322.714,3234.677,704.8060000000005,1.1324147793775883,99.48589359905512,109.50437094659817,138.16415113036823
2015-01-05,6049.787,5417.017,3350.519,632.7700000000004,1.1168115219132597,99.85341662556854,111.4444696806983,143.11216034280088
2015-01-06,6172.392,5479.864,3351.446,692.5280000000002,1.1263768589877414,101.87704624184721,112.737423087716,143.151755692846
2015-01-07,6166.769,5488.242,3373.954,678.527,1.123632850009165,101.78423706332813,112.90978395846551,144.11314958585058
2015-01-08,6164.111,5444.037,3293.456,720.0739999999996,1.132268388330204,101.74036603425043,112.00035303324685,140.67480385992727
2015-01-09,6128.012,5409.058,3285.412,718.9539999999997,1.1329166742157322,101.1445420016413,111.28072891078958,140.33121702523167
2015-01-12,6062.283,5332.221,3229.316,730.0620000000008,1.1369151803723065,100.05966658017901,109.6999587716418,137.93516442962192
2015-01-13,6167.117,5405.091,3235.301,762.0259999999998,1.1409830102767926,101.78998090009223,111.19911568874812,138.1908043109811
2015-01-14,6139.29,5379.738,3222.437,759.5519999999997,1.1411875448209559,101.33068852757737,110.67752758226538,137.6413387414231
2015-01-15,6168.658,5449.038,3336.455,719.6200000000008,1.1320636780290394,101.81541553357934,112.1032387714443,142.51143865667967
2015-01-16,6252.075,5520.123,3376.495,731.9520000000002,1.1325970453919234,103.19223631332828,113.56567282458691,144.22168441267323
2015-01-19,6109.285,5281.895,3116.351,827.3899999999994,1.1566464308737676,100.83544765945254,108.66460031122884,133.11004175664962
2015-01-20,6336.631,5472.514,3173.052,864.1170000000002,1.157901286319231,104.58785660478509,112.5862112949243,135.53193597769334
2015-01-21,6465.733,5611.694,3323.611,854.0389999999998,1.1521891607061967,106.71872101260543,115.44956603244121,141.9628273557311
2015-01-22,6568.636,5690.156,3343.344,878.4800000000005,1.1543859254473867,108.417163640589,117.0637673502674,142.8056914791832
2015-01-23,6502.067,5633.289,3351.764,868.7780000000002,1.154222160446588,107.31842378555815,115.89384068078634,143.16533856373525
2015-01-26,6642.612,5758.979,3383.182,883.6329999999998,1.1534357044885908,109.63815809019408,118.47966520268965,144.5073091222219
2015-01-27,6693.806,5773.816,3352.96,919.9899999999998,1.159338295505087,110.48312929508599,118.78490729379854,143.21642382657663
2015-01-28,6666.264,5739.919,3305.738,926.3450000000003,1.161386423745701,110.02854092681757,118.08754319308285,141.19941021295205
2015-01-29,6625.005,5701.205,3262.305,923.8000000000002,1.1620359204764608,109.3475496594301,117.29107879224776,139.34423778737596
2015-01-30,6546.597,5632.728,3210.363,913.8689999999997,1.162242700162337,108.05340381747274,115.8822992092549,137.12561678193595
2015-02-02,6535.903,5609.389,3128.3,926.5140000000001,1.1651720000164012,107.87689637392246,115.4021451913004,133.62042453732812
2015-02-03,6654.549,5707.476,3204.907,947.0730000000003,1.1659355203596127,109.83518159437024,117.42009228239696,136.8925723052951
2015-02-04,6653.338,5683.519,3174.126,969.8189999999995,1.170637064818469,109.81519370264223,116.92722413002816,135.57781020201745
2015-02-05,6654.082,5654.217,3136.531,999.8650000000007,1.1768352717980228,109.82747362951726,116.32439311609855,133.97199878352149
2015-02-06,6526.949,5534.785,3075.907,992.1639999999998,1.1792597183088411,107.72910811419277,113.86731463491506,131.38253977474645
2015-02-09,6474.817,5504.974,3095.124,969.8429999999998,1.1761757639545618,106.86865495848264,113.25401194717175,132.20336376807631
2015-02-10,6555.818,5580.704,3141.593,975.1140000000005,1.1747295681691774,108.20559898644389,114.81200773875211,134.18821416855744
2015-02-11,6645.51,5641.786,3157.704,1003.7240000000002,1.177908910405322,109.68599038600564,116.06864974246677,134.87637024684946
2015-02-12,6703.815,5681.341,3173.416,1022.4739999999993,1.1799705386457175,110.64833062316669,116.88241606408253,135.54748366638418
2015-02-13,6815.848,5769.272,3203.827,1046.576,1.1814052102240975,112.49746643981813,118.69142343169712,136.8464418003882
2015-02-16,6965.301,5869.713,3222.363,1095.5880000000006,1.1866510338750806,114.96422976139311,120.7577994425531,137.63817794756838
2015-02-17,7020.053,5911.098,3246.906,1108.955,1.1876055852905838,115.86792674561472,121.60921441461903,138.68649367157812
2015-02-25,7004.665,5906.538,3228.843,1098.1270000000004,1.1859171988735195,115.61394352686104,121.51540138398906,137.9149609770099
2015-02-26,7045.268,5969.557,3298.359,1075.7110000000002,1.1801994687377975,116.28410733184258,122.81189335268843,140.8842278095186
2015-02-27,7141.888,6018.463,3310.303,1123.4250000000002,1.1866631065107487,117.87884729778891,123.81803810619469,141.39439702304472
2015-03-02,7317.677,6139.792,3336.285,1177.8849999999993,1.1918444468477107,120.78029362229455,126.31414363104159,142.50417737349989
2015-03-03,7282.108,6118.656,3263.052,1163.4520000000002,1.190148294004435,120.19321738705604,125.87931200485853,139.37614471993658
2015-03-04,7411.034,6210.421,3279.533,1200.6129999999994,1.1933223206607086,122.3211768659382,127.7671963811212,140.08010476750223
2015-03-05,7450.906,6208.988,3248.476,1241.9179999999997,1.2000193912437904,122.97927531265948,127.73771522478508,138.75355375741506
2015-03-06,7338.404,6133.026,3241.187,1205.3780000000006,1.1965388700455535,121.12239852059894,126.17494648954109,138.4422155627238
2015-03-09,7450.816,6212.236,3302.408,1238.58,1.1993774866247837,122.97778983763428,127.80453643607588,141.05717448948906
2015-03-10,7566.481,6276.485,3286.068,1289.996,1.2055284127979276,124.88687282419173,129.1263332354057,140.3592370356196
2015-03-11,7566.312,6262.892,3290.9,1303.42,1.2081179110225755,124.88408343219994,128.8466839973897,140.56562833164756
2015-03-12,7514.445,6260.137,3349.323,1254.308,1.2003643051262296,124.02800417517514,128.7900052913841,143.06107507995952
2015-03-13,7649.345,6329.576,3372.911,1319.7690000000002,1.20850827922755,126.2545661851747,130.21857613215457,144.068599477871
2015-03-16,7903.363,6516.765,3449.305,1386.598,1.2127739760448628,130.44720390686535,134.06962161254725,147.33164928514802
2015-03-17,7993.243,6618.054,3502.847,1375.1890000000003,1.207793559859137,131.93069829870197,136.15344355541512,149.618611779339
2015-03-18,8150.951,6728.068,3577.301,1422.8829999999998,1.2114846342218895,134.53371269064422,138.41676521149492,152.79879753150541
2015-03-19,8216.624,6782.463,3582.271,1434.161,1.211451356240351,135.61766381653527,139.53583534331867,153.01108328093818
2015-03-20,8318.829,6850.897,3617.318,1467.9319999999998,1.2142685840992793,137.30458576043446,140.9437302858911,154.50806087859817
2015-03-23,8560.441,7017.154,3687.728,1543.2870000000003,1.2199306157453578,141.29245900253986,144.36414103883942,157.51551351794646
2015-03-24,8655.38,7046.123,3691.41,1609.2569999999996,1.2283890020086223,142.85945359607095,144.96012123276904,157.67278436893469
2015-03-25,8784.909,7124.872,3660.727,1660.0369999999994,1.2329918348006812,144.99736575762196,146.58022701107572,156.36220818184302
2015-03-26,8611.864,7074.437,3682.095,1537.4269999999997,1.217321463177918,142.14120991610696,145.54262609006216,157.2749087641125
2015-03-27,8710.291,7155.945,3691.096,1554.3459999999995,1.2172104453010748,143.76577491950374,147.21949286650653,157.6593723517673
2015-03-30,8719.22,7245.497,3786.568,1473.722999999999,1.2033984694217663,143.913150547282,149.06184912066743,161.73730898553893
2015-03-31,8780.739,7253.104,3747.899,1527.6349999999993,1.2106181022635274,144.92853874812087,149.2183481829486,160.08562334271886
2015-04-01,9008.201,7425.733,3810.294,1582.467999999999,1.2131059654312912,148.6828623057081,152.76985030238245,162.7507278368552
2015-04-02,9238.053,7560.648,3825.784,1677.4049999999997,1.2218599516866808,152.47663347785357,155.5454610540141,163.4123588748257
2015-04-03,9419.201,7679.01,3863.929,1740.190999999999,1.2266165820854509,155.46653158747102,157.9805263898524,165.0416626800798
2015-04-07,9600.722,7863.284,3961.378,1737.438,1.220955773694553,158.4625861658041,161.7716014789542,169.20404376588937
2015-04-08,9455.59,7807.997,3994.811,1647.5929999999998,1.2110135288217965,156.06714215071696,160.63418020166512,170.6320818867718
2015-04-09,9369.657,7746.151,3957.534,1623.5059999999994,1.2095887363930808,154.64879409137453,159.36182040071333,169.03985333916515
2015-04-10,9600.401,7952.189,4034.31,1648.2119999999995,1.2072651945269408,158.45728797154754,163.60064698074282,172.31921967688143
2015-04-13,9813.596,8122.893,4121.715,1690.7029999999995,1.2081404987114812,161.9761307270839,167.1125460115884,176.05258706705666
2015-04-14,9830.062,8119.959,4135.565,1710.103,1.2106048811330206,162.24790663558392,167.0521847326699,176.6441680790574
2015-04-15,9441.192,7802.747,4084.163,1638.4449999999988,1.2099830995417382,155.8294991572405,160.52617177824246,174.4486123260709
2015-04-16,9541.766,7912.088,4194.823,1629.6779999999999,1.2059731893780756,157.48950099262743,162.7756477830911,179.1752805418113
2015-04-17,9567.695,7980.76,4287.296,1586.9349999999995,1.1988450974593898,157.91746634738857,164.18843910752537,183.1251195976053
2015-04-20,9353.612,7839.901,4217.077,1513.7109999999993,1.1930778207530937,154.38396690493684,161.29054224754626,180.12582522347665
2015-04-21,9716.349,8112.687,4293.623,1603.6620000000003,1.1976733479302235,160.37104195179535,166.90257763645477,183.395367472185
2015-04-22,9995.262,8323.427,4398.494,1671.835000000001,1.2008589731128778,164.97457857073536,171.23813861780488,187.8747676389382
2015-04-23,10105.27,8410.703,4414.508,1694.567000000001,1.2014774508147537,166.79029119931974,173.03367064878293,188.5587805144747
2015-04-24,10123.91,8419.095,4393.686,1704.8150000000005,1.2024938547432948,167.09794958231745,173.2063195419949,187.6694014652415
2015-04-27,10174.9,8513.016,4527.396,1661.884,1.1952168303219446,167.93955371048554,175.13855937747647,193.38061425330088
2015-04-28,9847.893,8266.483,4476.215,1581.4099999999999,1.1913038471136999,162.54221224863286,170.0666278247803,191.1944981684481
2015-04-29,10107.4,8428.254,4476.62,1679.1459999999988,1.1992282150015885,166.82544744158287,173.39474795154314,191.2117971077882
2015-04-30,10180.49,8469.673,4441.655,1710.816999999999,1.2019932764818664,168.03181821482875,174.24686240673216,189.71832201142666
2015-05-04,10270.13,8510.481,4480.464,1759.6489999999994,1.2067625789893661,169.51135133993148,175.08640673873813,191.37598753451243
2015-05-05,10007.27,8199.344,4298.706,1807.9260000000013,1.2204964202014212,165.17277394965365,168.68537495998544,183.6124798392608
2015-05-06,9973.991,8082.999,4229.266,1890.9920000000002,1.2339468308730461,164.62349480116754,166.29180543177446,180.64645922746777
2015-05-07,9806.508,7903.478,4112.214,1903.0299999999997,1.2407838675580547,161.8591413162101,162.59851396867796,175.64676676416718
2015-05-08,10274.38,8201.293,4205.917,2073.0869999999995,1.2527756294038026,169.58149877167722,168.72547180136655,179.64914333943852
2015-05-11,10771.62,8558.218,4333.584,2213.402,1.258628840723618,177.7885832331463,176.06850161662894,185.10223886717145
2015-05-12,11051.43,8745.678,4401.219,2305.7520000000004,1.2636447397217232,182.40692508650417,179.9251223889735,187.99116173696726
2015-05-13,11137.3,8824.929,4375.76,2312.370999999999,1.2620271505867071,183.82423331332893,181.55555582986267,186.90372051064762
2015-05-14,11211.1,8813.393,4378.311,2397.7070000000003,1.2720526589475813,185.04232283399585,181.3182253207953,187.01268247177495
